Date received,Product,Sub-product,Issue,Sub-issue,Company,State,ZIP code,Complaint ID,Company response to consumer
2023-05-26,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Reporting company used your report improperly,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",MO,65203,7032934,Closed with non-monetary relief
2023-05-24,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Received unsolicited financial product or insurance offers after opting out,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,934XX,7015599,Closed with non-monetary relief
2025-02-27,Checking or savings account,Checking account,Problem with a lender or other company charging your account,Transaction was not authorized,"CITIBANK, N.A.",NY,XXXXX,12270283,Closed with monetary relief
2021-12-05,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",GA,30144,4976642,Closed with explanation
2022-12-26,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,94402,6362272,Closed with non-monetary relief
2024-07-16,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,33183,9515498,Closed with non-monetary relief
2025-04-15,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,OH,44112,13009708,Closed with explanation
2025-03-20,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,NC,28590,12570917,Closed with explanation
2019-11-20,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,,"Paypal Holdings, Inc",NY,11103,3444096,Closed with monetary relief
2017-01-04,Consumer Loan,Vehicle loan,Managing the loan or lease,,KEYCORP,NY,141XX,2271627,Closed with explanation
2024-08-31,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,Experian Information Solutions Inc.,FL,339XX,9977721,Closed with explanation
2024-11-08,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,TX,765XX,10733894,Closed with explanation
2025-06-29,Checking or savings account,Checking account,Problem caused by your funds being low,Non-sufficient funds and associated fees,JPMORGAN CHASE & CO.,MI,48220,14357790,Closed with explanation
2019-08-31,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,"EQUIFAX, INC.",MI,48310,3361132,Closed with explanation
2025-08-18,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,NC,28216,15350320,Closed with explanation
2025-01-17,Debt collection,Rental debt,Written notification about debt,Didn't receive notice of right to dispute,"National Credit Systems,Inc.",TX,78247,11655341,Closed with explanation
2025-04-30,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"Aargon Agency, Inc.",TX,75020,13248893,Closed with explanation
